Scientific Name,Common Name,Taxon ID
Homo sapiens,Human,9606
Mus musculus,Mouse,10090
Rattus norvegicus,Rat,10116
Danio rerio,Zebrafish,7955
Sus scrofa,Pig,9823
Canis lupus familiaris,Dog,9615
Bos taurus,Cow,9913
Macaca mulatta,Rhesus Monkey,9544
Oryctolagus cuniculus,Rabbit,9986
Gallus gallus,Chicken,9031
Felis catus,Cat,9685
Equus caballus,Horse,9796
Ovis aries,Sheep,9940
Capra hircus,Goat,9925
Cavia porcellus,Guinea pig,10141
Mesocricetus auratus,Hamster,10036
Xenopus laevis,Frog,8355
Meleagris gallopavo,Turkey,9103
Oryzias latipes,Medaka,8090
Xenopus tropicalis,Xenopus,8364
